destination, B1
doubt, B1
conversation, A1
cut, A1
destroy, A2
down, A1
convert, B2
cycle, A2
detail, A1
download, A2
convince, B1
dad, A1
detailed, B2
downstairs, A1
convinced, B2
daily, A2
detect, B2
downwards, B2
cook, A1
damage, B1
detective, A2
dozen, B2
cooker, A2
dance, A1
determine, B1
draft, B2
cooking, A1
dancer, A1
determined, B1
drag, B2
cool, A1
dancing, A1
develop, A2
drama, A2
copy, A2
danger, A2
development, B1
dramatic, B2
core, B2
dangerous, A1
device, A2
draw, A1
corner, A2
dark, A1
diagram, B1
drawing, A2
corporate, B2
data, A2
dialogue, A1
dream, A2
correct, A1
date, A1
diamond, B1
dress, A1
correctly, A2
daughter, A1
diary, A2
dressed, B1
cost, A1
day, A1
dictionary, A1
drink, A1
costume, B1
dead, A2
die, A1
drive, A1
cottage, B1
deal, A2
diet, A1
driver, A1
cotton, B1
dear, A1
difference, A1
driving, A2
drop, A2
end, A1
exist, A2
feel, A1
drug, A2
ending, A2
existence, B2
feeling, A1
drum, B1
enemy, B1
expand, B1
fellow, B2
drunk, B1
energy, A2
expect, A2
female, A2
dry, A2
engage, B2
expectation, B2
fence, B1
due, B1
engaged, B1
expected, B1
festival, A1
during, A1
engine, A2
expedition, B1
few, A1
dust, B1
engineer, A2
expense, B2
fiction, A2
duty, B1
engineering, B1
expensive, A1
field, A2
DVD, A1
enhance, B2
experience, A2
fifteen, A1
each, A1
enjoy, A1
experienced, B1
fifth, A1
ear, A1
enormous, A2
experiment, A2
fifty, A1
early, A1
enough, A1
expert, A2
fight, A2
earn, A2
enquiry, B2
explain, A1
fighting, B1
earth, A2
ensure, B2
explanation, A2
figure, A2
earthquake, B1
enter, A2
explode, B1
file, B1
easily, A2
entertain, B1
exploration, B2
fill, A1
east, A1
entertainment, B1
explore, B1
film, A1
eastern, B1
enthusiasm, B2
explosion, B1
final, A1
easy, A1
enthusiastic, B2
export, B1
finally, A2
eat, A1
entire, B2
expose, B2
finance, B2
economic, B1
entirely, B2
express, A2
financial, B1
economy, B1
entrance, B1
expression, A2
find, A1
edge, B1
entry, B1
extend, B2
finding, B2
edit, B2
environment, A2
extent, B2
fine, A1
edition, B2
environmental, B1
external, B2
finger, A2
editor, B1
episode, B1
extra, A1
finish, A1
educate, B1
equal, B1
extraordinary, B2
fire, A1
educated, B1
equally, B1
extreme, A2
firm, B2
education, A2
equipment, A2
extremely, A2
first, A1
educational, B1
error, A2
eye, A1
firstly, A2
effect, A2
escape, B1
face, A1
fish, A1
effective, B1
especially, A2
facility, B2
fishing, A2
effectively, B1
essay, A2
fact, A1
fit, A2
efficient, B2
essential, B1
factor, A2
fitness, B1
effort, B1
establish, B2
factory, A2
five, A1
egg, A1
estate, B2
fail, A2
fix, A2
eight, A1
estimate, B2
failure, B2
fixed, B1
eighteen, A1
ethical, B2
fair, A2
flag, B1
eighty, A1
euro, A1
fairly, B1
flame, B2
either, A2
evaluate, B2
faith, B2
flash, B2
elderly, B2
even, A1
fall, A1
flat, A1
elect, B2
evening, A1
false, A1
flexible, B2
election, B1
event, A1
familiar, B1
flight, A1
electric, A2
eventually, B1
family, A1
float, B2
electrical, A2
ever, A1
famous, A1
flood, B1
electricity, A2
every, A1
fan, A2
floor, A1
electronic, A2
everybody, A1
fancy, B1
flour, B1
element, B1
everyday, A2
fantastic, A1
flow, B1
elephant, A1
everyone, A1
far, A1
flower, A1
eleven, A1
everything, A1
farm, A1
flu, A2
else, A1
everywhere, A2
farmer, A1
fly, A1
elsewhere, B2
evidence, A2
farming, A2
flying, A2
email, A1
evil, B2
fascinating, B1
focus, A2
embarrassed, B1
exact, A2
fashion, A2
fold, B1
embarrassing, B1
exactly, A2
fashionable, B1
folding, B2
emerge, B2
exam, A1
fast, A1
folk, B1
emergency, B1
examination, B2
fasten, B1
follow, A1
emotion, B1
examine, B1
fat, A1
following, A2
emotional, B2
example, A1
father, A1
food, A1
emphasis, B2
excellent, A2
fault, B2
foot, A1
emphasize, B2
except, A2
favour, B1
football, A1
employ, A2
exchange, B1
favourite, A1
for, A1
employee, A2
excited, A1
fear, A2
force, B1
employer, A2
excitement, B1
feather, B2
foreign, A2
employment, B1
exciting, A1
feature, A2
forest, A2
empty, A2
excuse, B2
February, A1
forever, B1
enable, B2
executive, B2
fee, B2
forget, A1
encounter, B2
exercise, A1
feed, A2
forgive, B2
encourage, B1
exhibition, B1
feedback, B2
fork, A2
form, A1
girlfriend, A1
healthy, A1
hurricane, B1
formal, A2
give, A1
hear, A1
hurry, B1
former, B2
glad, B1
hearing, B2
hurt, A2
fortunately, A2
glass, A1
heart, A2
husband, A1
fortune, B2
global, B1
heat, A2
forty, A1
glove, B1
heating, B1
ice, A1
forward, A2
go, A1
heaven, B2
ice cream, A1
found, B2
goal, A2
heavily, B1
idea, A1
four, A1
god, A2
heavy, A2
ideal, A2
fourteen, A1
gold, A2
heel, B2
identify, A2
fourth, A1
golf, A2
height, A2
identity, B1
frame, B1
good, A1
helicopter, B1
if, A1
free, A1
goodbye, A1
hell, B2
ignore, B1
freedom, B2
goods, B1
hello, A1
ill, A2
freeze, B1
govern, B2
help, A1
illegal, B1
frequency, B2
government, A2
helpful, A2
illness, A2
frequently, B1
grab, B2
her, A1
illustrate, B2
fresh, A2
grade, B1
here, A1
illustration, B2
Friday, A1
gradually, B2
hero, A2
image, A2
fridge, A2
graduate, B1
hers, A2
imaginary, B1
friend, A1
grain, B1
herself, A2
imagination, B2
friendly, A1
grand, B2
hesitate, B2
imagine, A1
friendship, B1
grandfather, A1
hey, A1
immediate, B1
frighten, B1
grandmother, A1
hi, A1
immediately, A2
frightened, B1
grandparent, A1
hide, A2
immigrant, B1
frightening, B1
grant, B2
high, A1
impact, B1
frog, A2
grass, A2
highlight, B1
impatient, B2
from, A1
grateful, B1
highly, B1
imply, B2
front, A1
great, A1
hill, A2
import, B1
frozen, B1
green, A1
him, A1
importance, B1
fruit, A1
greet, A2
himself, A2
important, A1
fry, B1
grey, A1
hire, B1
impose, B2
fuel, B1
ground, A2
his, A1
impossible, A2
full, A1
group, A1
historic, B1
impress, B2
fully, B2
grow, A1
historical, B1
impressed, B2
fun, A1
growth, B1
history, A1
impression, B1
function, B1
guarantee, B2
hit, A2
impressive, B1
fund, B2
guard, B1
hobby, A1
improve, A1
fundamental, B2
guess, A1
hockey, A2
improvement, B1
funding, B2
guest, A2
hold, A2
in, A1
funny, A1
guide, A2
hole, A2
inch, B2
fur, B1
guilty, B1
holiday, A1
incident, B2
furniture, A2
guitar, A1
hollow, B2
include, A1
further, A2
gun, A2
holy, B2
included, A2
furthermore, B2
guy, A2
home, A1
including, A2
future, A1
gym, A1
homework, A1
income, B2
gain, B2
habit, A2
honest, B1
increase, A2
gallery, A2
hair, A1
honour, B2
increasingly, B2
game, A1
half, A1
hope, A1
incredible, A2
gang, B2
hall, A2
horrible, B1
incredibly, B1
gap, A2
hand, A1
horror, B1
indeed, B1
garage, B1
handle, B2
horse, A1
independent, A2
garden, A1
hang, B1
hospital, A1
indicate, B1
gas, A2
happen, A1
host, B1
indirect, B1
gate, A2
happily, A2
hot, A1
individual, A2
gather, B1
happiness, B1
hotel, A1
indoor, B1
general, A2
happy, A1
hour, A1
indoors, B1
generally, B1
hard, A1
house, A1
industrial, B2
generate, B2
hardly, B1
household, B2
industry, A2
generation, B1
harm, B2
housing, B2
infection, B2
generous, B1
harmful, B2
how, A1
influence, B1
genre, B2
hat, A1
however, A1
inform, B2
gentle, B1
hate, A1
huge, A2
informal, A2
gentleman, B1
have, A1
human, A2
information, A1
geography, A1
have to, A1
humorous, B2
ingredient, B1
get, A1
he, A1
humour, B2
initial, B2
ghost, B1
head, A1
hundred, A1
initially, B2
giant, B1
headache, A2
hungry, A1
initiative, B2
gift, A2
headline, B1
hunt, B1
injure, B1
girl, A1
