empire, B2
experimental, C1
forum, B2
distinctive, C1
empirical, C1
expertise, B2
fossil, B2
distinguish, B2
empower, C1
expire, C1
foster, C1
distort, C1
enact, C1
explicit, C1
foundation, B2
distract, B2
encompass, C1
explicitly, C1
founder, B2
distress, C1
encouragement, C1
exploit, B2
fraction, B2
disturb, B2
encouraging, C1
exploitation, C1
fragile, C1
disturbing, C1
endeavour, C1
explosive, C1
fragment, B2
dive, B2
endless, C1
exposure, B2
framework, B2
diverse, B2
endorse, C1
extension, B2
franchise, C1
diversity, B2
endorsement, C1
extensive, B2
frankly, C1
divert, C1
endure, C1
extensively, B2
fraud, B2
divine, C1
enforce, C1
extract, B2
freely, B2
divorce, B2
enforcement, C1
extremist, C1
frequent, B2
doctrine, C1
engagement, C1
fabric, B2
frustrated, C1
documentation, C1
engaging, C1
fabulous, B2
frustrating, C1
domain, C1
enjoyable, B2
facilitate, C1
frustration, C1
dominance, C1
enquire, C1
faction, C1
fulfil, B2
dominant, B2
enrich, C1
faculty, C1
full-time, B2
donation, B2
enrol, C1
fade, C1
functional, C1
donor, C1
ensue, C1
failed, B2
fundraising, C1
dose, C1
enterprise, C1
fairness, C1
fundamentally, B2
dot, B2
entertaining, B2
fake, B2
funeral, C1
furious, B2
hence, B2
inflation, B2
irony, C1
gallon, C1
herb, B2
inflict, C1
irrelevant, C1
gambling, C1
heritage, C1
influential, C1
isolate, B2
gaming, B2
hidden, B2
info, B2
isolated, B2
gathering, C1
hierarchy, C1
infrastructure, B2
isolation, C1
gay, B2
high-profile, C1
inhabitant, B2
jail, B2
gaze, C1
highway, B2
inherent, C1
jet, B2
gear, C1
hilarious, B2
inherit, B2
joint, B2
gender, B2
hint, C1
inhibit, C1
journalism, B2
gene, B2
hip, B2
initiate, C1
judicial, C1
generic, C1
historian, B2
inject, C1
junction, C1
genetic, B2
homeland, C1
injection, C1
jurisdiction, C1
genius, B2
homeless, B2
injustice, C1
jury, B2
genocide, C1
honesty, B2
ink, B2
just, C1
genuine, B2
hook, B2
inmate, C1
justification, C1
genuinely, B2
hopeful, C1
innovation, B2
kidnap, C1
gesture, B2
hopefully, B2
innovative, B2
kidney, C1
gig, B2
horizon, C1
input, B2
kingdom, C1
glance, C1
horn, C1
insert, B2
kit, B2
glimpse, C1
hostage, C1
insertion, C1
lad, C1
globalization, B2
hostile, C1
insider, C1
ladder, B2
globe, B2
hostility, C1
inspect, C1
landing, B2
glorious, C1
humanitarian, C1
inspection, C1
landlord, C1
glory, C1
humanity, C1
inspector, B2
landmark, C1
golden, B2
humble, C1
inspiration, C1
lane, B2
goodness, B2
hunger, B2
installation, B2
lap, C1
gorgeous, B2
hydrogen, C1
instant, B2
